yx,yy,yz,yaw,pitch
0.119036,0.546363,-0.82661,12.29094998,55.9226863
-0.186476,0.529421,-0.829577,-19.4036043,55.91723653
0.110145,0.554168,-0.832293,11.24145962,55.82909803
0.544634,0.119865,-0.821312,77.5880139,55.82362219
-0.322995,0.458556,-0.82547,-35.15987695,55.80461743
-0.226905,0.515353,-0.828085,-23.76343493,55.78448855
0.19935,0.530407,-0.829316,20.59840188,55.65706307
-0.514117,0.233237,-0.824325,-65.59785707,55.59422336
0.536272,0.15225,-0.813534,74.15052042,55.57952682
-0.346727,0.440646,-0.817986,-38.19781499,55.57059285
0.443405,0.332673,-0.805114,53.12024173,55.45225953
-0.357658,0.434428,-0.817282,-39.46410994,55.45186385
0.201792,0.534963,-0.82582,20.66684638,55.30320974
-0.375229,0.423364,-0.81605,-41.55068388,55.26890069
-0.201071,0.530071,-0.816461,-20.77316053,55.22505909
0.517806,0.204597,-0.801645,68.43988987,55.21911936
-0.233586,0.524355,-0.820597,-24.01168182,55.0261551
-0.26454,0.51262,-0.822249,-27.29621257,54.9481711
-0.19665,0.538168,-0.815568,-20.07262406,54.91032661
0.0925177,0.568984,-0.818805,9.23555678,54.85361369
-0.125295,0.556735,-0.809776,-12.68328537,54.82713957
-0.292643,0.431484,-0.73965,-34.14608004,54.82088375
-0.292643,0.431484,-0.73965,-34.14608004,54.82088375
-0.292643,0.431484,-0.73965,-34.14608004,54.82088375
0.0311505,0.575131,-0.817084,3.100250159,54.81945383
0.0316953,0.575817,-0.816607,3.150612387,54.77022436
0.520918,0.215758,-0.795711,67.50124869,54.67901273
0.238249,0.526658,-0.814094,24.34099533,54.62365168
0.264889,0.52378,-0.822624,26.82689578,54.49172989
0.264889,0.52378,-0.822624,26.82689578,54.49172989
0.0765425,0.574439,-0.811906,7.589805384,54.48180099
-0.401367,0.415093,-0.807926,-44.03685693,54.4474869
0.134375,0.571475,-0.82053,13.23199756,54.41759472
0.184046,0.558894,-0.820747,18.2269181,54.3621447
0.045635,0.580744,-0.812355,4.493082955,54.35595017
0.398731,0.397455,-0.784568,45.09182446,54.33758584
0.398731,0.397455,-0.784568,45.09182446,54.33758584
0.10101,0.578275,-0.815683,9.908158861,54.25819333
-0.298618,0.502105,-0.809419,-30.74131127,54.18034571
0.197746,0.553686,-0.812915,19.65391583,54.12377084
-0.408874,0.423639,-0.814061,-43.98393959,54.12373235
0.242651,0.543464,-0.817234,24.06026288,53.9349309
0.0154648,0.567963,-0.779619,1.559694722,53.91604989
0.215327,0.554879,-0.816229,21.2092998,53.90045754
0.0810943,0.583144,-0.807329,7.917002131,53.89809055
-0.231912,0.482414,-0.733369,-25.67509774,53.87546954
-0.231912,0.482414,-0.733369,-25.67509774,53.87546954
-0.231912,0.482414,-0.733369,-25.67509774,53.87546954
-0.175779,0.564156,-0.808792,-17.30592239,53.84800376
0.0563417,0.587085,-0.807077,5.481805312,53.84203295
0.537208,0.198134,-0.78326,69.75492822,53.83231953
0.203368,0.561258,-0.814262,19.91763794,53.75343369
0.210505,0.558982,-0.81357,20.63568983,53.71471381
0.189937,0.561366,-0.806165,18.69314015,53.67965432
0.16536,0.573545,-0.811836,16.08291495,53.67461145
0.0410191,0.59076,-0.805366,3.971926466,53.67310594
-0.567864,0.1652,-0.803886,-73.77950863,53.65869982
-0.567864,0.1652,-0.803886,-73.77950863,53.65869982
-0.567864,0.1652,-0.803886,-73.77950863,53.65869982
0.179981,0.560715,-0.800457,17.79584139,53.65825132
0.0332562,0.570124,-0.775644,3.338367049,53.63643353
