is_coarse,dose,risk,distance,threshold,randomangle
FALSE,0.3577289212397927,1.252050167714111e-6,2.1,1,close
FALSE,0.31984746732377956,1.1194653028942874e-6,2.2,1,close
FALSE,0.2972039385433888,1.0402130764380262e-6,2.3000000000000003,1,close
FALSE,0.270882743025654,9.480889912953151e-7,2.4000000000000004,1,close
FALSE,0.24554621546101793,8.594112712489285e-7,2.5000000000000004,1,close
FALSE,0.24022894789487026,8.40800850391226e-7,2.6,1,close
FALSE,0.2137581488863945,7.481531510514705e-7,2.7,1,close
FALSE,0.2024471771597057,7.08564792841586e-7,2.8000000000000003,1,close
FALSE,0.18316103667075662,6.410633530715384e-7,2.9000000000000004,1,close
FALSE,0.1751505253397934,6.13026586945739e-7,3.0000000000000004,1,close
FALSE,0.16345201474756174,5.720818283807389e-7,3.1,1,close
FALSE,0.1544662362547208,5.406316361121323e-7,3.2,1,close
FALSE,0.14299352825723355,5.004771823962558e-7,3.3000000000000003,1,close
FALSE,0.1328310273133485,4.649084491272853e-7,3.4000000000000004,1,close
FALSE,0.12864657144549696,4.5026286261678066e-7,3.5000000000000004,1,close
FALSE,0.12033631348320367,4.211769784014931e-7,3.6,1,close
FALSE,0.1158581012682319,4.0550324262788364e-7,3.7,1,close
FALSE,0.11024893415708022,3.85871170327215e-7,3.8000000000000003,1,close
FALSE,0.10156032907152449,3.554610670392089e-7,3.9000000000000004,1,close
FALSE,0.09724725233165389,3.4036530646292366e-7,4,1,close
FALSE,0.0921267646272958,3.224436085647913e-7,4.1,1,close
FALSE,0.09040594060464677,3.164207252361051e-7,4.2,1,close
FALSE,0.08378043055899184,2.932314499886679e-7,4.3,1,close
FALSE,0.08060886236278551,2.821309644914256e-7,4.3999999999999995,1,close
FALSE,0.0769324003216225,2.692633535979713e-7,4.5,1,close
FALSE,0.07463035942982224,2.6120621246460617e-7,4.6,1,close
FALSE,0.07146291251821081,2.501201510888126e-7,4.7,1,close
FALSE,0.06569368333490326,2.29927856742761e-7,4.8,1,close
FALSE,0.06825535451035908,2.388937026034481e-7,4.9,1,close
FALSE,0.06270120032282812,2.1945416781478322e-7,5,1,close
FALSE,0.0614459148619037,2.150606714833781e-7,5.1,1,close
FALSE,0.05794289354079439,2.0280010053762826e-7,5.2,1,close
FALSE,0.057020403900812776,1.9957138644357753e-7,5.3,1,close
FALSE,0.05271141226615362,1.844899197700051e-7,5.4,1,close
FALSE,0.05165705827675199,1.8079968249789016e-7,5.5,1,close
FALSE,0.05155788013433847,1.804525589096085e-7,5.6,1,close
FALSE,0.04798772044731976,1.679570028206278e-7,5.7,1,close
FALSE,0.045895090861326863,1.6063280027023016e-7,5.8,1,close
FALSE,0.046257105320864536,1.6189985120905665e-7,5.9,1,close
FALSE,0.043905209648330015,1.5366821780079243e-7,6,1,close
FALSE,0.04178570294845164,1.4624994616622325e-7,6.1,1,close
FALSE,0.03991597092337233,1.397058853239405e-7,6.2,1,close
FALSE,0.0405021544452784,1.4175752685947485e-7,6.3,1,close
FALSE,0.0398849576397591,1.3959733882247125e-7,6.4,1,close
FALSE,0.0375884339130653,1.3155950726373433e-7,6.5,1,close
FALSE,0.0362944235501062,1.2703047147290263e-7,6.6,1,close
FALSE,0.03572803359679446,1.250481070898185e-7,6.7,1,close
FALSE,0.03484170281558514,1.2194594982841956e-7,6.8,1,close
FALSE,0.03330845077090038,1.1657956872422349e-7,6.9,1,close
FALSE,0.031115551147421896,1.0890442105599641e-7,7,1,close
FALSE,0.030514087990898834,1.0679930033294219e-7,7.1,1,close
FALSE,0.030636657859532405,1.0722829468756623e-7,7.2,1,close
FALSE,0.02972210015760202,1.0402734342683873e-7,7.3,1,close
